City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Busselton,62,AU,1630120123,63,-33.65,115.3333,61.05,9.55
Cape Town,72,ZA,1630119942,93,-33.9258,18.4232,44.89,4.0
Nikolskoye,61,RU,1630120123,93,59.7035,30.7861,57.09,5.55
Chui,1,UY,1630120124,81,-33.6971,-53.4616,47.55,5.55
Hilo,90,US,1630120124,75,19.7297,-155.09,82.27,5.75
Bethel,75,US,1630120124,90,41.3712,-73.414,79.48,0.0
Saint George,1,US,1630119840,13,37.1041,-113.5841,97.39,3.0
Esperance,59,AU,1630120125,73,-33.8667,121.9,57.04,20.69
Punta Arenas,75,CL,1630120125,87,-53.15,-70.9167,37.51,6.91
Ostrovnoy,69,RU,1630120125,77,68.0531,39.5131,47.62,16.64
Dikson,42,RU,1630120126,77,73.5069,80.5464,39.43,3.44
Beidao,100,CN,1630119918,67,34.5686,105.8933,69.94,3.71
Vaini,40,TO,1630120126,73,-21.2,-175.2,71.76,6.91
Jacksonville,75,US,1630119939,90,30.3322,-81.6556,82.98,6.91
Yellowknife,60,CA,1630120127,57,62.456,-114.3525,62.47,5.21
Oddur,15,SO,1630120127,74,4.1213,43.8894,67.84,14.61
Cidreira,6,BR,1630120128,80,-30.1811,-50.2056,56.79,9.82
Puerto Ayora,100,EC,1630120128,90,-0.7393,-90.3518,67.55,1.99
Mar del Plata,100,AR,1630119876,83,-38.0023,-57.5575,46.4,10.11
Hermanus,93,ZA,1630120128,69,-34.4187,19.2345,46.8,19.19
Dunedin,100,NZ,1630119918,85,-45.8742,170.5036,47.8,8.66
Tasiilaq,100,GL,1630120129,99,65.6145,-37.6368,46.56,5.03
Alofi,38,NU,1630119865,60,-19.0595,-169.9187,70.9,18.21
Dingle,99,PH,1630120129,70,10.9995,122.6711,86.81,6.35
Zhoucheng,100,CN,1630120129,73,35.9122,116.3117,74.08,5.12
Pakenham,5,AU,1630120130,41,-38.0667,145.4833,66.74,5.99
Kananga,100,CD,1630120130,77,-5.8958,22.4178,73.11,2.26
Ushuaia,75,AR,1630120106,75,-54.8,-68.3,38.86,13.8
Champerico,82,GT,1630120130,81,14.3,-91.9167,82.35,5.19
Saryagash,0,KZ,1630120131,16,41.4511,69.1701,78.76,4.68
Buraidah,0,SA,1630120131,16,26.326,43.975,83.66,4.23
Bredasdorp,66,ZA,1630120131,87,-34.5322,20.0403,46.27,11.5
Tuktoyaktuk,100,CA,1630120132,87,69.4541,-133.0374,44.49,15.14
Medina,0,SA,1630119843,9,24.4686,39.6142,90.03,4.61
Barranca,51,PE,1630120132,86,-10.75,-77.7667,61.09,7.25
Upernavik,96,GL,1630120133,93,72.7868,-56.1549,38.61,8.28
